id,title,format,affiliation 1,affiliation 2,affiliation 3,affiliation 4,affiliation 5,affiliation 6,affiliation 7,tags,year,ID,Abstract,lower_abstract,affiliation,mode of presentation,affiliation 8,affiliation 9,affiliation 10,tags (primary),tags (secondary),affiliation 11
2013-11,Community Engagement: Computer Skills for the Homeless,contributed paper,University of Louisville,,,,,,,,2013,2013-11,"What does it mean to provide computer skills to the homeless? The number of homeless people is growing, regardless of socio-economic status, age, gender, race, religion, or ethnicity. Find out how an Outreach Librarian from a university developed a community partnership to teach computer skills to residents of a homeless shelter. In this session, the benefits, impact, and outcomes of these classes for both the residents and librarians will be discussed.","what does it mean to provide computer skills to the homeless? the number of homeless people is growing, regardless of socio-economic status, age, gender, race, religion, or ethnicity. find out how an outreach librarian from a university developed a community partnership to teach computer skills to residents of a homeless shelter. in this session, the benefits, impact, and outcomes of these classes for both the residents and librarians will be discussed.",,,,,,,,
2013-12,Beer Cans in the Stacks? Using a Photo Study to Reveal How Students Use Library Spaces,contributed paper,Georgetown University,,,,,,,,2013,2013-12,"Are you curious about how students use the library once you’ve gone home for the day? Are you wondering if you have enough chairs or too many printers? Find out how to implement an assessment of space use that uses no equipment more complicated than a camera and no technique more difficult than counting, but results in illuminating and persuasive data that can guide decisions on everything from furniture to technology.","are you curious about how students use the library once you’ve gone home for the day? are you wondering if you have enough chairs or too many printers? find out how to implement an assessment of space use that uses no equipment more complicated than a camera and no technique more difficult than counting, but results in illuminating and persuasive data that can guide decisions on everything from furniture to technology.",,,,,,,,
2013-13,Seating Sweeps: An Innovative Research Method to Learn About How Our Patrons Use the Library,contributed paper,Clark University,,,,,,,,2013,2013-13,"The speaker used an innovative research method called seating sweeps to learn how the clients at this university were using the library. The study determined which areas of the library and what types of furniture were used the most and least and where various activities took place. These findings greatly influenced the library’s recent renovation/expansion, which so inspired the student body that the door count more than doubled. Learn how to use this methodology.","the speaker used an innovative research method called seating sweeps to learn how the clients at this university were using the library. the study determined which areas of the library and what types of furniture were used the most and least and where various activities took place. these findings greatly influenced the library’s recent renovation/expansion, which so inspired the student body that the door count more than doubled. learn how to use this methodology.",,,,,,,,
2013-14,The Location-less Library: Examining the Value of the Library Building,contributed paper,Millersville University,,,,,,,,2013,2013-14,"What does it mean to be a library? Find out how the closure of the library building on-campus allowed the library department to study the building’s impact on student research and study behavior. Learn how to use the “Standards for Libraries in Higher Education” and various research methods to assess your library’s impact. And, decide for yourself whether a library can successfully meet its mission without a building.","what does it mean to be a library? find out how the closure of the library building on-campus allowed the library department to study the building’s impact on student research and study behavior. learn how to use the “standards for libraries in higher education” and various research methods to assess your library’s impact. and, decide for yourself whether a library can successfully meet its mission without a building.",,,,,,,,
2013-15,"Academic and Public Library Collaboration: Increasing Value by Sharing Space, Collections, and Services",contributed paper,Cuyahoga Community College,,,,,,,,2013,2013-15,Against the constant struggle to reduce attrition among the student population a community college library sought a partnership with a local public system. This paper will discuss that effort against other similar efforts and will also seek to demonstrate the overall value of such a relationship and its impact on both institutions.,against the constant struggle to reduce attrition among the student population a community college library sought a partnership with a local public system. this paper will discuss that effort against other similar efforts and will also seek to demonstrate the overall value of such a relationship and its impact on both institutions.,,,,,,,,
2013-16,Organizational Culture and Organizational Change: How Shared Values can Facilitate Change in an Academic Library,contributed paper,Stetson University,,,,,,,,2013,2013-16,"Learn about organizational culture—the shared values, norms, and beliefs of an organization—and its role in helping and hindering organizational change. Library managers know implementing change is not easy, but by focusing on the shared values of librarians and library staff the change process can be much smoother.","learn about organizational culture—the shared values, norms, and beliefs of an organization—and its role in helping and hindering organizational change. library managers know implementing change is not easy, but by focusing on the shared values of librarians and library staff the change process can be much smoother.",,,,,,,,
2013-17,"Mutant Superheroes, Contained Chaos, and Smelly Pets: Library Innovation through Imaginary Anarchy",contributed paper,Virginia Tech,,,,,,,,2013,2013-17,"Find out how to encourage innovation and creativity in academic library settings, without compromising traditional values. Libraries will be dared to create newly described positions that enable current employees to act as agents to bring new services, methods, programs, and perspectives to the library and the community. Use the subversive values presented here in your own work to nurture your inherent creative capabilities and increase your job enjoyment.","find out how to encourage innovation and creativity in academic library settings, without compromising traditional values. libraries will be dared to create newly described positions that enable current employees to act as agents to bring new services, methods, programs, and perspectives to the library and the community. use the subversive values presented here in your own work to nurture your inherent creative capabilities and increase your job enjoyment.",,,,,,,,
2013-18,"Academic Library, e-Science/e-Research, and Data Services in a Broader Context",contributed paper,Rutgers University,,,,,,,,2013,2013-18,"Academic libraries have been actively involved in providing data services to support e-science/e-research. This article will identify the different institutional models in terms of e-science/e-research services. In North America, many academic libraries have taken on the responsibility and occasionally collaborating with other research support departments. In Europe, a centralized promotion of e-science/e-research is more obvious. Under this context, this article will then analyze the comparative advantages and unique contributions of libraries in this exciting field.","academic libraries have been actively involved in providing data services to support e-science/e-research. this article will identify the different institutional models in terms of e-science/e-research services. in north america, many academic libraries have taken on the responsibility and occasionally collaborating with other research support departments. in europe, a centralized promotion of e-science/e-research is more obvious. under this context, this article will then analyze the comparative advantages and unique contributions of libraries in this exciting field.",,,,,,,,
2013-19,Research Funding And Implications for Universities and Their Libraries ,contributed paper,University of Missouri,,,,,,,,2013,2013-19,"Research in the natural sciences is frequently funded by external agencies. Much of this work could not be conducted without the support; the money that goes into the research and associated institutional costs carries implications for the communication
of research results. The present study is an analysis of articles published in scientific journals and the financial support that the authors have received. The use of the funds for communicative efforts is explored.","research in the natural sciences is frequently funded by external agencies. much of this work could not be conducted without the support; the money that goes into the research and associated institutional costs carries implications for the communication
of research results. the present study is an analysis of articles published in scientific journals and the financial support that the authors have received. the use of the funds for communicative efforts is explored.",,,,,,,,
2013-20,Studying Practicing Researchers: How Research within Scientific Industry can Impact and Influence Information Literacy among Graduate Students in STEM Departments,contributed paper,University of Illinois,Dow Chemical Corporation,,,,,,,2013,2013-20,"As part of a grant-based partnership between a large chemical corporation and a large university, researchers are studying how STEM researchers in industry conduct research. Implications of this study impact how librarians provide instruction to graduate students in STEM, as many of these students will use the research skills developed in school in industry after they graduate. Recommendations will be made as to skills librarians should emphasize with STEM students and delivery of instruction.","as part of a grant-based partnership between a large chemical corporation and a large university, researchers are studying how stem researchers in industry conduct research. implications of this study impact how librarians provide instruction to graduate students in stem, as many of these students will use the research skills developed in school in industry after they graduate. recommendations will be made as to skills librarians should emphasize with stem students and delivery of instruction.",,,,,,,,
2013-21,A Qualitative Study: Faculty and Librarians Collaborate to Enhance Student Research,panel session,Salem State University,,,,,,,,2013,2013-21,Faculty and Librarians will discuss the results of a qualitative study conducted on student research. The investigators held focus groups with students in several Arts & Sciences courses to better discern their research habits. Presenters will also suggest ways in which faculty and librarians can work together to address issues of information literacy. The investigators will reflect on challenges to incorporating information literacy into a new core curriculum that is using LEAP outcomes.,faculty and librarians will discuss the results of a qualitative study conducted on student research. the investigators held focus groups with students in several arts & sciences courses to better discern their research habits. presenters will also suggest ways in which faculty and librarians can work together to address issues of information literacy. the investigators will reflect on challenges to incorporating information literacy into a new core curriculum that is using leap outcomes.,,,,,,,,
2013-22,Building a Dream Team: Library Personas in the 21st-Century Library ,panel session,University of North Carolina Greensboro,Virginia Polytechnic University,,,,,,,2013,2013-22,"What is your public services persona? Are you a big picture visionary? Do you prefer working one-on-one with students? Or, were you always the class clown who loved to perform in front of a crowd, including the library instruction session? Our panel of three public services librarians will explore the idea of the library persona and how it functions within the academic library.","what is your public services persona? are you a big picture visionary? do you prefer working one-on-one with students? or, were you always the class clown who loved to perform in front of a crowd, including the library instruction session? our panel of three public services librarians will explore the idea of the library persona and how it functions within the academic library.",,,,,,,,
2013-23,Information Literacy and Scholarly Communication: Mutually Exclusive or Naturally Symbiotic?,panel session,North Carolina State University,University of California Irvine,Illinois Wesleyan University,,,,,,2013,2013-23,"Learn specific strategies used by librarians in a variety of roles to successfully develop coherent, campus-wide scholarly communication and information literacy initiatives. Our goal is to expand the scope and culture of collaboration around scholarly communication activities using information literacy as a lens through which to view our outreach, education, and advocacy activities. Programmatic efforts to change undergraduate education, instructional strategies for the classroom, and new models and roles for subject liaisons will be presented.","learn specific strategies used by librarians in a variety of roles to successfully develop coherent, campus-wide scholarly communication and information literacy initiatives. our goal is to expand the scope and culture of collaboration around scholarly communication activities using information literacy as a lens through which to view our outreach, education, and advocacy activities. programmatic efforts to change undergraduate education, instructional strategies for the classroom, and new models and roles for subject liaisons will be presented.",,,,,,,,
2013-24,Picasso and the Quarterback: Inspiring New Student Athletes through a Creative Assignment,panel session,University of Kansas,,,,,,,,2013,2013-24,"Develop a winning team! In response to campus initiatives related to the first-year experience and undergraduate retention and persistence, an engaging information literacy assignment was developed collaboratively by the university libraries, athletic department, and the university art museum. The Art Minute assignment is an example of a successful cross-disciplinary collaboration, but also a meaningful, multi-disciplinary learning experience for students. Attendees will have the opportunity to tackle their own Art Minute description during this discussion.","develop a winning team! in response to campus initiatives related to the first-year experience and undergraduate retention and persistence, an engaging information literacy assignment was developed collaboratively by the university libraries, athletic department, and the university art museum. the art minute assignment is an example of a successful cross-disciplinary collaboration, but also a meaningful, multi-disciplinary learning experience for students. attendees will have the opportunity to tackle their own art minute description during this discussion.",,,,,,,,
2013-25,Questioning Authority: Standard Three and the Critical Classroom ,panel session,Barnard College,Long Island University Brooklyn,University of California San Diego,,,,,,2013,2013-25,"Teaching students to meet the objectives and outcomes of the ACRL Information Literacy Competency Standards while questioning authority, challenging homogeneous norms, and examining ingrained bias is an exciting challenge. Join us to engage in an open, critical discussion of activism, LOC classification, and different perspectives on authority—including your own. We’ll challenge and rethink the ways we teach source evaluation, examining our own authority as classroom educators.","teaching students to meet the objectives and outcomes of the acrl information literacy competency standards while questioning authority, challenging homogeneous norms, and examining ingrained bias is an exciting challenge. join us to engage in an open, critical discussion of activism, loc classification, and different perspectives on authority—including your own. we’ll challenge and rethink the ways we teach source evaluation, examining our own authority as classroom educators.",,,,,,,,
2013-26,"The One-Shot Mixtape: Lessons for Planning, Delivering, and Integrating Instruction",panel session,Syracuse University,Tulane University,Pierce College,Baruch College,University of Buffalo,John Carroll University,University of Illinois at Urbana-Champaign,,2013,2013-26,"Academic librarians teach every day. They teach diverse audiences in a variety of venues, but one teaching scenario remains quintessential: the one-shot library instruction session. In recognition of the centrality of the “one-shot,” this panel shares time-tested “lessons” for librarians that teach in this format. These lessons provide a range of strategies for developing pedagogically sound one-shot library instruction sessions and can be grouped loosely into three categories: planning, delivery, and integration.","academic librarians teach every day. they teach diverse audiences in a variety of venues, but one teaching scenario remains quintessential: the one-shot library instruction session. in recognition of the centrality of the “one-shot,” this panel shares time-tested “lessons” for librarians that teach in this format. these lessons provide a range of strategies for developing pedagogically sound one-shot library instruction sessions and can be grouped loosely into three categories: planning, delivery, and integration.",,,,,,,,
2013-27,Digital Initiatives: From Collection to Interpretation the Omeka Way ,Cyber Zed Shed presentation,Lewis & Clark College,,,,,,,,2013,2013-27,"The digital collections platform Omeka is a highly flexible platform for collecting digital assets, but it also shines in the presentation, interpretation, and collection of content. The interpretative aspect of Omeka creates new opportunities for libraries to add value to digital scholarly projects.","the digital collections platform omeka is a highly flexible platform for collecting digital assets, but it also shines in the presentation, interpretation, and collection of content. the interpretative aspect of omeka creates new opportunities for libraries to add value to digital scholarly projects.",,,,,,,,
2013-28,Give ‘em the Business: Be a Biz Wiz with Interactive Business Reference Tools,Cyber Zed Shed presentation,Golden Gate University,,,,,,,,2013,2013-28,"Have you ever wondered how to answer business reference questions requesting global, financial, demographic, or marketing visuals? Let two business librarians lead you down the colorful path of data visualization. Free resources are available that will help you tackle these topics and wow your patrons with their interactive features and impressive graphics. This presentation will highlight robust, free tools available to anyone. Graphical representations turn boring numbers and static tables into snazzy, easy-to-understand snapshots.","have you ever wondered how to answer business reference questions requesting global, financial, demographic, or marketing visuals? let two business librarians lead you down the colorful path of data visualization. free resources are available that will help you tackle these topics and wow your patrons with their interactive features and impressive graphics. this presentation will highlight robust, free tools available to anyone. graphical representations turn boring numbers and static tables into snazzy, easy-to-understand snapshots.",,,,,,,,
2013-29,Help Them Help Themselves: Developing Interactive Tools to Help Faculty Deal with Copyright and Fair Use,Cyber Zed Shed presentation,Wayne State University,,,,,,,,2013,2013-29,"The Copyright Projects Team at a public research institution developed two online interactive tools, a Copyright Decision Tree and an Interactive Fair Use Checklist, to help their faculty navigate the murky waters of copyright and fair use when it comes to course reserves. Join two librarians from this team as they recount their experience and demonstrate the tools they created.","the copyright projects team at a public research institution developed two online interactive tools, a copyright decision tree and an interactive fair use checklist, to help their faculty navigate the murky waters of copyright and fair use when it comes to course reserves. join two librarians from this team as they recount their experience and demonstrate the tools they created.",,,,,,,,
2013-30,Disciplinary Literacy in First-Year Writing Courses: A Collaborative Context For Critical Information Literacy Instruction,workshop,Michigan State University,,,,,,,,2013,2013-30,"Disciplinary literacy—examining disciplinary communication—opens doors for learning critical information literacy skills and concepts. In this workshop, participants will be introduced to a set of concepts that replace traditional evaluation criteria lists, thereby reframing information sources as pieces of writing and refiguring information literacy as a composing activity.","disciplinary literacy—examining disciplinary communication—opens doors for learning critical information literacy skills and concepts. in this workshop, participants will be introduced to a set of concepts that replace traditional evaluation criteria lists, thereby reframing information sources as pieces of writing and refiguring information literacy as a composing activity.",,,,,,,,
2013-31,One Picture is Worth … Innovative Uses for Pinterest,workshop,Ashland University,,,,,,,,2013,2013-31,"From crafts and recipes to books and videos, libraries are using Pinterest to curate images, resources, and information for an increasingly interested audience of users. During this workshop we will explore aspects of visual literacy, social use of images, and library marketing in conjunction with a variety of tools and resources such as Animoto, Photobucket, Easel.ly, and QR Codes, that can be used develop original content for your library or personal Pinterest site. ","from crafts and recipes to books and videos, libraries are using pinterest to curate images, resources, and information for an increasingly interested audience of users. during this workshop we will explore aspects of visual literacy, social use of images, and library marketing in conjunction with a variety of tools and resources such as animoto, photobucket, easel.ly, and qr codes, that can be used develop original content for your library or personal pinterest site. ",,,,,,,,
2013-32,Zesty Presentation Tools!!! Using Interactive Technology Tools to Enhance Classroom Presentations.,workshop,Winston Salem State University,,,,,,,,2013,2013-32,"Are you tired of using PowerPoint as a presentation tool to deliver presentations? Well, instead of using PowerPoint, consider adopting other tech tools that you can use to share your content, and engage the crowd. There are a plethora of free tech tools available, that are intuitive and easy to implement. During this workshop, you will learn how to use creative tech tools to deliver engaging, eye-popping presentations.","are you tired of using powerpoint as a presentation tool to deliver presentations? well, instead of using powerpoint, consider adopting other tech tools that you can use to share your content, and engage the crowd. there are a plethora of free tech tools available, that are intuitive and easy to implement. during this workshop, you will learn how to use creative tech tools to deliver engaging, eye-popping presentations.",,,,,,,,
2013-33,“The Ability to Navigate”: Distance Students’ Assessment of Library Instruction Sessions,poster,Central Michigan University,,,,,,,,2013,2013-33,"The distance learner presents unique challenges to librarians providing instruction. For many distance students, the library instruction session is their first extended interaction with a librarian. What are their perceptions of library instruction? What information do they find most helpful, or want in more detail? Examine survey data gathered from evaluations of one-shot instruction sessions presented online or at off-campus centers, and use this unique perspective to help refine teaching strategies for distance learners.","the distance learner presents unique challenges to librarians providing instruction. for many distance students, the library instruction session is their first extended interaction with a librarian. what are their perceptions of library instruction? what information do they find most helpful, or want in more detail? examine survey data gathered from evaluations of one-shot instruction sessions presented online or at off-campus centers, and use this unique perspective to help refine teaching strategies for distance learners.",,,,,,,,
2013-34,Between the Gym and the Lab: Creating a Community in the Commons,poster,University of Pennsylvania,,,,,,,,2013,2013-34,"Information Commons-type spaces are now arguably a mainstream feature of academic libraries, but when the University of Pennsylvania Library was asked to develop and manage a Commons to be located in the campus athletic stadium, it was faced with an array of new and interesting challenges. This extraordinary opportunity required an open mind and creative approaches to staffing, service, IT, and programming. We built it and they came","information commons-type spaces are now arguably a mainstream feature of academic libraries, but when the university of pennsylvania library was asked to develop and manage a commons to be located in the campus athletic stadium, it was faced with an array of new and interesting challenges. this extraordinary opportunity required an open mind and creative approaches to staffing, service, it, and programming. we built it and they came",,,,,,,,
2013-35,READ: All About It! Reimagining Reference Stats to Demonstrate Value and Guide Public Services with the READ Scale,poster,Auburn University,,,,,,,,2013,2013-35,"The READ Scale adds a qualitative dimension to reference statistics by recording the effort, knowledge, skills, and teaching employed in reference transactions. The Scale provides copious data that can be used to inform reference staffing and training, library instruction, liaison, marketing, outreach, and campus partnerships. Results can also be used to improve way finding, facilities, and user interfaces. Learn how libraries can analyze READ data and implement changes in public services based on these findings.","the read scale adds a qualitative dimension to reference statistics by recording the effort, knowledge, skills, and teaching employed in reference transactions. the scale provides copious data that can be used to inform reference staffing and training, library instruction, liaison, marketing, outreach, and campus partnerships. results can also be used to improve way finding, facilities, and user interfaces. learn how libraries can analyze read data and implement changes in public services based on these findings.",,,,,,,,
2013-36,Sketching Success: Assessing Learning Outcomes with Concept Maps ,poster,University of Dayton,,,,,,,,2013,2013-36,"Learn how one library uses concept maps to conduct both quick and in-depth assessments of student learning. This technique evolved into a more formal assessment with pre- and post-testing for both one-shot instruction sessions and semester-long research classes. After transcribing the concepts to spread-sheets, librarians standardize the terms and map them to ACRL Information Literacy Standards for more rigorous analysis and assessment. Discover how concept maps can be easily utilized for assessment.","learn how one library uses concept maps to conduct both quick and in-depth assessments of student learning. this technique evolved into a more formal assessment with pre- and post-testing for both one-shot instruction sessions and semester-long research classes. after transcribing the concepts to spread-sheets, librarians standardize the terms and map them to acrl information literacy standards for more rigorous analysis and assessment. discover how concept maps can be easily utilized for assessment.",,,,,,,,
2013-37,The Joy of (Performance) Assessment,poster,Augustana College,,,,,,,,2013,2013-37,"How can librarians assess student learning in a way that is organic to the assignment and instruction session, yet gives results that are comparable across classes? Learn how five instruction librarians at Augustana College adopted performance assessment to evaluate students’ comprehension of higher-level research skills in the college’s required first-year sequence. Take away tips and advice for putting into practice your own class-integrated performance assessments that work with a diverse array of assignments.","how can librarians assess student learning in a way that is organic to the assignment and instruction session, yet gives results that are comparable across classes? learn how five instruction librarians at augustana college adopted performance assessment to evaluate students’ comprehension of higher-level research skills in the college’s required first-year sequence. take away tips and advice for putting into practice your own class-integrated performance assessments that work with a diverse array of assignments.",,,,,,,,
2013-38,The Standards’ Size Fits All: Adapting the 2011 ACRL Standards for Libraries in Higher Education To Fit a College Library’s External Review,poster,Franklin & Marshall College,,,,,,,,2013,2013-38,"This poster presents the success story of a college library adapting the 2011 ACRL Standards for Libraries in Higher Education as a framework for assessment. As required for an external review, the library crafted a self-study employing only those elements of the Standards best suited for telling the library’s story. The external review team and campus stakeholders responded positively to the self-study. The presenting librarians aspire to inspire colleagues to use the Standards for assessment.","this poster presents the success story of a college library adapting the 2011 acrl standards for libraries in higher education as a framework for assessment. as required for an external review, the library crafted a self-study employing only those elements of the standards best suited for telling the library’s story. the external review team and campus stakeholders responded positively to the self-study. the presenting librarians aspire to inspire colleagues to use the standards for assessment.",,,,,,,,
2013-39,Academic Librarians’ Attitudes to Patron-Driven Acquisition of E-Books,poster,Purdue University,,,,,,,,2013,2013-39,"What are academic library directors’ opinions of e-book patron-driven acquisitions (PDA)? If a PDA program is initiated, will patrons choose books that will be useful to the collection and used by other readers? What percentage of the monograph budget do directors think should be allocated to PDA? This poster highlights the results of a survey recently administered to directors of institutions in the Academic Libraries of Indiana (ALI).","what are academic library directors’ opinions of e-book patron-driven acquisitions (pda)? if a pda program is initiated, will patrons choose books that will be useful to the collection and used by other readers? what percentage of the monograph budget do directors think should be allocated to pda? this poster highlights the results of a survey recently administered to directors of institutions in the academic libraries of indiana (ali).",,,,,,,,
2013-40,Collection Connections: Working Together to Provide Greater Access to Archival Collections,poster,California State University Channel Islands,,,,,,,,2013,2013-40,"Although archives and digital repositories have traditionally been viewed as two separate collections, bringing them together can create a more cohesive and straightforward discovery and research experience for students. Discover how the evaluation of the University Archives and Institutional Repository led to the identification of areas of opportunity and collaboration, as well as strategies and workflow that enhance, promote, and increase access to both collections.","although archives and digital repositories have traditionally been viewed as two separate collections, bringing them together can create a more cohesive and straightforward discovery and research experience for students. discover how the evaluation of the university archives and institutional repository led to the identification of areas of opportunity and collaboration, as well as strategies and workflow that enhance, promote, and increase access to both collections.",,,,,,,,
